# Time-averaged data for fix ave_time
# TimeStep v_kinetic_energy v_potential_energy
7500 1.48756 14.5251
7510 1.49445 14.5251
7520 1.50505 14.5251
7530 1.51992 14.525
7540 1.52118 14.525
7550 1.52703 14.525
7560 1.51865 14.5251
7570 1.52593 14.5251
7580 1.52054 14.5251
7590 1.5213 14.5252
7600 1.51404 14.5252
7610 1.51874 14.5252
7620 1.52646 14.5253
7630 1.52225 14.5252
7640 1.52061 14.5251
7650 1.51466 14.525
7660 1.51913 14.5248
7670 1.51718 14.5247
7680 1.51084 14.5246
7690 1.51771 14.5245
7700 1.51166 14.5244
7710 1.51058 14.5244
7720 1.51466 14.5243
7730 1.50214 14.5244
7740 1.5008 14.5245
7750 1.4927 14.5245
7760 1.49168 14.5245
7770 1.48999 14.5246
7780 1.47076 14.5247
7790 1.46671 14.5248
7800 1.46242 14.5248
7810 1.45762 14.5249
7820 1.46419 14.525
7830 1.45831 14.5251
7840 1.45888 14.5252
7850 1.44962 14.5254
7860 1.44667 14.5255
7870 1.43604 14.5256
7880 1.43958 14.5257
7890 1.43209 14.5258
7900 1.43111 14.526
7910 1.42775 14.5263
7920 1.44487 14.5265
7930 1.44778 14.5267
7940 1.45268 14.5269
7950 1.4618 14.527
7960 1.46349 14.5271
7970 1.48386 14.5273
7980 1.50508 14.5274
7990 1.50797 14.5275
8000 1.50109 14.5277
8010 1.49576 14.5278
8020 1.49069 14.5279
8030 1.49059 14.5281
8040 1.48714 14.5284
8050 1.48877 14.5287
8060 1.4913 14.529
8070 1.48917 14.5292
8080 1.49922 14.5295
8090 1.50316 14.5297
8100 1.50984 14.53
8110 1.50676 14.5301
8120 1.49924 14.5304
8130 1.4992 14.5305
8140 1.49268 14.5307
8150 1.49347 14.5307
8160 1.47868 14.5308
8170 1.48331 14.5309
8180 1.48562 14.5309
8190 1.4984 14.5311
8200 1.49536 14.5312
8210 1.48919 14.5313
8220 1.49138 14.5313
8230 1.49456 14.5313
8240 1.50297 14.5313
8250 1.5046 14.5314
8260 1.50713 14.5315
8270 1.50737 14.5316
8280 1.5073 14.5316
8290 1.50891 14.5317
8300 1.51026 14.5318
8310 1.51403 14.5319
8320 1.50703 14.5319
8330 1.5128 14.5318
8340 1.51073 14.5317
8350 1.50524 14.5316
8360 1.50478 14.5315
8370 1.49232 14.5314
8380 1.49338 14.5312
8390 1.48826 14.531
8400 1.48245 14.5308
8410 1.48844 14.5306
8420 1.48713 14.5303
8430 1.48991 14.5301
8440 1.50531 14.5297
8450 1.49772 14.5295
8460 1.49394 14.5292
8470 1.49986 14.5289
8480 1.49542 14.5286
8490 1.49448 14.5284
8500 1.49283 14.5281
8510 1.49824 14.5279
8520 1.50324 14.5278
8530 1.48965 14.5277
8540 1.49227 14.5275
8550 1.49514 14.5274
8560 1.49096 14.5274
8570 1.476 14.5274
8580 1.49087 14.5274
8590 1.49683 14.5274
8600 1.50214 14.5273
8610 1.49299 14.5273
8620 1.50267 14.5272
8630 1.50421 14.5271
8640 1.50651 14.5271
8650 1.49486 14.5269
8660 1.49338 14.5268
8670 1.49687 14.5265
8680 1.49437 14.5263
8690 1.48529 14.526
8700 1.48614 14.5258
8710 1.48666 14.5255
8720 1.48304 14.5252
8730 1.49245 14.5249
8740 1.49668 14.5247
8750 1.4976 14.5245
8760 1.49769 14.5242
8770 1.50927 14.5239
8780 1.50781 14.5237
8790 1.51002 14.5234
8800 1.50882 14.5232
8810 1.49715 14.5231
