# Time-averaged data for fix ave_time
# TimeStep v_kinetic_energy v_potential_energy
7500 1.50982 14.5235
7510 1.50549 14.5234
7520 1.49753 14.5235
7530 1.48657 14.5237
7540 1.47967 14.524
7550 1.48788 14.5242
7560 1.47778 14.5243
7570 1.47351 14.5243
7580 1.47973 14.5242
7590 1.50827 14.5241
7600 1.48114 14.5242
7610 1.49164 14.5243
7620 1.50555 14.5243
7630 1.48106 14.5244
7640 1.49441 14.5246
7650 1.49599 14.525
7660 1.50269 14.5255
7670 1.49202 14.5256
7680 1.49972 14.5256
7690 1.50303 14.5257
7700 1.48967 14.5257
7710 1.49273 14.5255
7720 1.50321 14.5255
7730 1.50699 14.5254
7740 1.49568 14.5252
7750 1.50163 14.5253
7760 1.5141 14.5255
7770 1.51287 14.5258
7780 1.49225 14.5262
7790 1.49575 14.5264
7800 1.47944 14.5266
7810 1.50082 14.5267
7820 1.53838 14.5268
7830 1.5366 14.5268
7840 1.51892 14.527
7850 1.53496 14.5272
7860 1.5227 14.5273
7870 1.51279 14.5274
7880 1.50398 14.5274
7890 1.49564 14.5274
7900 1.49554 14.5274
7910 1.49563 14.5273
7920 1.50161 14.5272
7930 1.51828 14.5272
7940 1.51679 14.5272
7950 1.4922 14.5272
7960 1.47754 14.5271
7970 1.49971 14.5271
7980 1.49619 14.5272
7990 1.49763 14.5271
8000 1.51384 14.5269
8010 1.49487 14.5267
8020 1.49107 14.5268
8030 1.47679 14.5267
8040 1.5094 14.5265
8050 1.47811 14.5263
8060 1.48834 14.5263
8070 1.49604 14.5262
8080 1.49297 14.5263
8090 1.47516 14.5263
8100 1.49403 14.5262
8110 1.48491 14.5261
8120 1.50205 14.526
8130 1.4619 14.5262
8140 1.49301 14.5265
8150 1.47689 14.5268
8160 1.50653 14.5269
8170 1.5038 14.5271
8180 1.50308 14.5272
8190 1.51402 14.5274
8200 1.49008 14.5276
8210 1.51188 14.5276
8220 1.51665 14.5277
8230 1.49827 14.5276
8240 1.47995 14.5275
8250 1.48215 14.5274
8260 1.49894 14.5273
8270 1.49017 14.5272
8280 1.48513 14.5275
8290 1.48264 14.5277
8300 1.4899 14.5279
8310 1.47876 14.528
8320 1.49262 14.5281
8330 1.50722 14.528
8340 1.51123 14.5281
8350 1.49212 14.528
8360 1.50057 14.5278
8370 1.48155 14.5279
8380 1.49049 14.528
8390 1.48131 14.5281
8400 1.47381 14.5282
8410 1.47539 14.5283
8420 1.48434 14.5283
8430 1.50752 14.5281
8440 1.52723 14.5279
8450 1.50005 14.5278
8460 1.51856 14.5279
8470 1.49644 14.528
8480 1.51293 14.5281
8490 1.50277 14.5283
8500 1.50662 14.5284
8510 1.4778 14.5285
8520 1.50491 14.5285
8530 1.51804 14.5287
8540 1.50538 14.5289
8550 1.49039 14.529
8560 1.48477 14.5288
8570 1.48139 14.5287
8580 1.48941 14.5288
8590 1.50655 14.5288
8600 1.49388 14.5289
8610 1.49934 14.5288
8620 1.46873 14.5288
8630 1.48096 14.5287
8640 1.52679 14.5287
8650 1.51374 14.5285
8660 1.52032 14.5282
8670 1.50415 14.528
8680 1.49601 14.5275
8690 1.51208 14.5274
8700 1.48584 14.5273
8710 1.51925 14.5272
8720 1.53082 14.527
8730 1.51408 14.5271
8740 1.50389 14.5272
8750 1.51202 14.5273
8760 1.49851 14.5274
8770 1.47144 14.5275
8780 1.50295 14.5276
8790 1.51564 14.5279
8800 1.51649 14.5279
8810 1.52531 14.528
8820 1.49173 14.528
8830 1.478 14.5282
8840 1.514 14.5283
8850 1.48305 14.5283
8860 1.49325 14.5285
8870 1.49146 14.5286
8880 1.50058 14.5286
8890 1.48628 14.5287
8900 1.48162 14.5288
8910 1.48137 14.5288
8920 1.5165 14.5287
8930 1.50141 14.5287
8940 1.52832 14.5286
8950 1.49721 14.5284
8960 1.49732 14.5283
8970 1.50765 14.5283
8980 1.52816 14.5285
8990 1.52702 14.5286
9000 1.50875 14.5288
9010 1.49214 14.5291
